time_stamp;price;alpha
2008-01-03;0.027555068467593813;0.032688254028693464
2008-01-04;-0.004095456752291504;0.008594104596935104
2008-01-07;0.03140880383985145;0.030323425962989425
2008-01-08;-0.011700705660282473;-0.015890406944014224
2008-01-09;0.002912953654977457;0.011520639852331982
2008-01-10;-0.008865661747931242;0.00012007458214569056
2008-01-11;-0.020239877173943377;-0.020869821974932812
2008-01-14;-0.028064714912102495;-0.029886055395288658
2008-01-15;0.005929699877449401;0.027585116247975883
2008-01-16;-0.0065670717703083525;0.0060425348167560955
2008-01-17;-0.011436003731669864;-0.003637556327043434
2008-01-18;0.006108304562739697;0.01960143285096283
2008-01-21;-0.07507818207474415;-0.0007435450804340604
2008-01-22;-0.04475022907890214;-0.04169414324047871
2008-01-23;-0.0691821431205204;-0.019165169799848947
2008-01-24;0.05425746457994407;-0.00335300497673785
2008-01-25;0.007308149476223491;0.007943088659370545
2008-01-28;0.016131304221667087;0.015821840055221692
2008-01-29;-0.004668146482579516;-0.01547789145594436
2008-01-30;-0.001801181630648685;0.0007568480489403839
2008-01-31;-0.0034917445741511344;-5.327312126279793e-05
2008-02-01;-0.006412962506810338;-0.02333324597114217
2008-02-04;0.012904937765852331;0.0083491352436047
2008-02-05;-0.009511776260874072;0.024669187969413642
2008-02-06;0.018459107854007506;0.0063732753956857735
2008-02-07;0.010279486567948304;0.027036763142718634
2008-02-08;-0.012657624988161587;-0.017629055168361774
2008-02-11;0.013714989226952135;0.017229175758004978
2008-02-12;0.03178176225647;-0.0009384771054925523
2008-02-13;0.003293386653382413;0.002457024083925674
2008-02-14;-0.004887169809221881;-0.0032525285404885196
2008-02-15;-0.017817619536672602;0.0010089371704156136
2008-02-18;0.011416875601062415;-0.00816633354728502
2008-02-19;0.0099264513032713;0.004952835803423206
2008-02-20;-0.02215552097777085;-0.00739333617923954
2008-02-21;-0.013674013170745347;-0.01442303135742673
2008-02-22;-0.05465574709934273;-0.04027886009213333
2008-02-25;-0.0004973254940860983;-0.011640819394154178
2008-02-26;0.0022357821676264322;-0.01267741638607145
2008-02-27;0.00198310042820804;0.00028401027903068865
2008-02-28;-0.011206672442727772;0.008321576465317726
2008-02-29;0.0011263069701001882;0.01793561893773976
2008-03-03;-0.012966769249601384;-0.004307786615536102
2008-03-04;-0.014293229926113149;0.007605682692481075
2008-03-05;-0.0015435979811568856;-0.022509297888350766
2008-03-06;0.013934444667004442;0.02785553773307292
2008-03-07;-0.012776547463359655;-0.0009766314533274922
2008-03-10;0.013664802587347147;0.023834586074149122
2008-03-11;0.01647935410162571;0.004686754580220942
2008-03-12;-0.005379343477024179;-0.016778527452585124
2008-03-13;0.0012536127201006053;0.01633948435795851
2008-03-14;-0.026790175583936815;-0.0192764854703249
2008-03-17;-0.005937014230015691;0.03674729278199784
2008-03-18;0.005164569957675447;-0.028409756649256046
2008-03-19;-0.011918745253452379;-0.006874296351319309
2008-03-20;-0.003655878605231422;0.0028466750605673496
2008-03-26;-0.004301691651263262;0.001146343612483669
2008-03-27;0.019277386156106857;0.005685974735939681
2008-03-28;-0.0012821263788884707;0.001482407516779638
2008-03-31;0.003841653748835938;0.0076492085233415
2008-04-01;0.028227736440125994;0.0002582536187745177
2008-04-02;-0.0008701466166831651;-0.009332315403553615
2008-04-03;0.011990963253399656;0.017275287023450048
2008-04-04;-0.0014756431491900202;-0.004684789895630814
2008-04-07;-0.0012313839105155822;-0.009717575397611533
2008-04-08;0.0;0.007216947302591592
2008-04-09;-0.002714374950645748;0.00478863842425703
2008-04-10;-0.026922044145902824;-0.02438361799408373
2008-04-11;-0.01200222905165127;0.0031394542011824456
2008-04-14;-0.0028299473685109433;0.004630091153964955
2008-04-15;-0.004777605850629918;-0.009429157628381368
2008-04-16;0.011325730563193304;-0.006403664786869712
2008-04-17;-0.0028194298401116313;0.0003229463317824255
2008-04-18;-0.04153340766927016;-0.06538242406780981
2008-04-21;-0.008463785685675518;-0.00016853510546788186
2008-04-22;-0.004597698779287285;0.0040225023159461415
2008-04-23;0.008771350077634743;-0.001097598486853535
2008-04-24;0.004825071000714942;0.0009635262423142166
2008-04-25;-0.0004011244438926198;-0.011373796580115503
2008-04-28;-0.005499387890038676;-0.009659455657470062
2008-04-29;-0.00539441700284371;0.0003968076615858962
2008-04-30;0.0027008975721471984;-0.006476447136135377
2008-05-05;-0.0013340540925730338;-0.0025898049462105277
2008-05-06;0.027647877376585583;0.03262045603568886
2008-05-07;0.021072351880111917;0.012678286701334862
2008-05-08;-0.0025460701321691204;-0.0019311349182640214
2008-05-09;-0.011925513371326524;-0.002159234750156891
2008-05-12;0.0021905764105794034;-0.0024792793546426495
2008-05-13;-0.0037397540607866375;-0.007178960787053157
2008-05-14;-0.00038769442488550965;-0.0036472026333278507
2008-05-15;-0.00012929786246207442;0.00017999115928635234
2008-05-16;0.0036129513480931408;-0.00699286842184943
2008-05-19;0.024428646767216122;0.014779319515854539
2008-05-20;-0.014177432544688173;0.000802859616792162
2008-05-21;0.012919720398784307;0.023890677426622986
2008-05-22;0.01944236164223856;0.01526126772100067
2008-05-23;-0.02626143861268826;-0.00823942231398167
2008-05-26;0.009583939425152899;0.008175086580659574
2008-05-27;0.012100254107582309;0.011407307089737806
2008-05-28;0.01293519020896472;0.0021893748177026495
2008-05-29;0.02669073451167492;0.023682692285134976
2008-05-30;-0.009700012984185769;-0.01560178047939953
2008-06-02;-0.003133723392231502;0.009346626435238647
2008-06-03;0.014976627107705198;0.013499589883760876
2008-06-04;-0.009799269985914627;-0.0021193757677808733
